____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Wed Dec 11 14:24:25 2024
  3.9 ms/s; 0.27;;;;Process;[PID 87711] apt-config; 7.22 mW  
  4.4 ms/s;;;;;Process;[PID 87695] apt.systemd.dai; 6.92 mW  
  3.3 ms/s; 0.27;;;;Process;[PID 87709] apt-config; 6.26 mW  
 92.4 us/s;  1.5;;;;Process;[PID 14] [ksoftirqd/0]; 6.19 mW  
110.8 us/s;  1.4;;;;Process;[PID 258] [brcmf_wdog/mmc1]; 5.86 mW  
  3.0 ms/s; 0.27;;;;Process;[PID 87713] apt-config; 5.70 mW  
  2.7 ms/s; 0.27;;;;Process;[PID 87693] apt-config; 5.25 mW  
668.4 us/s;  1.0;;;;Process;[PID 87717] python3.9; 4.95 mW  
  0.0 us/s;  1.2;;;;kWork;sdio_irq_work; 4.62 mW  
  0.9 ms/s;  0.7;;;;Interrupt;[3] net_rx(softirq); 4.20 mW  
  2.6 ms/s;;;;;Process;[PID 87693] apt.systemd.dai; 4.11 mW  
 54.8 us/s;  0.9;;;;Process;[PID 20] [ksoftirqd/1]; 3.64 mW  
  2.3 ms/s;;;;;Process;[PID 87652] time; 3.53 mW  
  2.2 ms/s;;;;;Interrupt;[180] arch_timer; 3.47 mW  
  2.2 ms/s;;;;;Process;[PID 87713] apt.systemd.dai; 3.39 mW  
  1.5 ms/s; 0.18;;;;Process;[PID 1] /sbin/init ; 3.04 mW  
  1.8 ms/s;;;;;Interrupt;[9] RCU(softirq); 2.87 mW  
  1.8 ms/s;;;;;Process;[PID 87709] apt.systemd.dai; 2.86 mW  
  1.5 ms/s; 0.09;;;;Process;[PID 87690] apt-config; 2.62 mW  
  1.4 ms/s; 0.09;;;;Process;[PID 87702] apt-config; 2.55 mW  
  1.4 ms/s; 0.09;;;;Process;[PID 87698] apt-config; 2.55 mW  
  1.4 ms/s; 0.09;;;;Process;[PID 87716] apt-config; 2.55 mW  
  1.4 ms/s; 0.09;;;;Process;[PID 87696] apt-config; 2.55 mW  
 32.7 us/s;  0.6;;;;kWork;free_work; 2.54 mW  
  1.4 ms/s; 0.09;;;;Process;[PID 87694] apt-config; 2.53 mW  
  1.4 ms/s; 0.09;;;;Process;[PID 87714] apt-config; 2.51 mW  
  1.4 ms/s; 0.09;;;;Process;[PID 87708] apt-config; 2.50 mW  
  1.3 ms/s; 0.09;;;;Process;[PID 87710] apt-config; 2.46 mW  
  0.9 ms/s; 0.27;;;;Process;[PID 363] /lib/systemd/systemd-timesyncd ; 2.46 mW  
  1.3 ms/s; 0.09;;;;Process;[PID 87712] apt-config; 2.44 mW  
  1.5 ms/s;;;;;Process;[PID 286] [kworker/u9:1]; 2.40 mW  
  1.0 ms/s; 0.18;;;;Process;[PID 87695] apt-config; 2.28 mW  
664.2 us/s; 0.27;;;;Process;[PID 87691] apt-config; 2.10 mW  
632.8 us/s; 0.27;;;;Process;[PID 87705] apt-config; 2.05 mW  
630.1 us/s; 0.27;;;;Process;[PID 87697] apt-config; 2.05 mW  
135.3 us/s;  0.4;;;;Interrupt;[104] mmc1; 1.99 mW  
107.9 us/s;  0.4;;;;Process;[PID 42] [kcompactd0]; 1.95 mW  
  1.0 ms/s; 0.09;;;;Process;[PID 87655] /usr/sbin/powertop --csv=log/powertop_leak_10mbits_2024-12-11_14-25-46.csv -t 11.2508385181427 ; 1.86 mW  
  1.2 ms/s;;;;;Timer;process_timeout; 1.82 mW  
  1.1 ms/s;;;;;Interrupt;[1] timer(softirq); 1.78 mW  
  0.9 ms/s; 0.09;;;;Process;[PID 87699] apt.systemd.dai; 1.77 mW  
664.6 us/s; 0.18;;;;Process;[PID 87701] apt-config; 1.75 mW  
660.4 us/s; 0.18;;;;Process;[PID 87689] apt-config; 1.74 mW  
  1.1 ms/s;;;;;Process;[PID 87711] apt.systemd.dai; 1.69 mW  
  0.8 ms/s; 0.09;;;;Process;[PID 87692] apt-config; 1.66 mW  
  1.0 ms/s;;;;;Process;[PID 87700] dpkg; 1.58 mW  
547.9 us/s; 0.18;;;;Process;[PID 145] /lib/systemd/systemd-journald ; 1.57 mW  
 23.1 us/s;  0.4;;;;kWork;vmstat_shepherd; 1.46 mW  
  0.9 ms/s;;;;;Process;[PID 87704] dpkg; 1.35 mW  
164.0 us/s; 0.27;;;;Process;[PID 410] /lib/systemd/systemd-logind ; 1.32 mW  
123.9 us/s; 0.27;;;;Interrupt;[10] IPI; 1.26 mW  
  0.8 ms/s;;;;;Process;[PID 87706] apt-config; 1.20 mW  
527.9 us/s; 0.09;;;;Process;[PID 368] /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only ; 1.18 mW  
  0.7 ms/s;;;;;Process;[PID 87688] apt.systemd.dai; 1.13 mW  
 32.6 us/s; 0.27;;;;Timer;timerfd_tmrproc; 1.12 mW  
 26.1 us/s; 0.27;;;;kWork;kfree_rcu_work; 1.11 mW  
 19.2 us/s; 0.27;;;;kWork;thermal_zone_device_check; 1.10 mW  
466.9 us/s; 0.09;;;;Process;[PID 87687] [kthreadd]; 1.08 mW  
  8.0 us/s; 0.27;;;;kWork;mmc_rescan; 1.08 mW  
  6.0 us/s; 0.27;;;;kWork;kfree_rcu_monitor; 1.08 mW  
  5.9 us/s; 0.27;;;;Interrupt;[2] 3f00b880.mailbox; 1.08 mW  
425.9 us/s; 0.09;;;;Process;[PID 87700] apt-config; 1.02 mW  
621.1 us/s;;;;;Process;[PID 87706] dpkg;  969 uW  
373.7 us/s; 0.09;;;;Process;[PID 87703] apt.systemd.dai;  938 uW  
572.9 us/s;;;;;Process;[PID 87692] dpkg;  894 uW  
519.4 us/s;;;;;Process;[PID 87704] apt-config;  810 uW  
 45.7 us/s; 0.18;;;;kWork;get_values_poll;  782 uW  
497.9 us/s;;;;;Process;[PID 85679] [kworker/u8:2];  777 uW  
492.5 us/s;;;;;Process;[PID 87128] [kworker/u8:1];  768 uW  
 23.7 us/s; 0.18;;;;Timer;hrtimer_wakeup;  748 uW  
  8.6 us/s; 0.18;;;;Process;[PID 25] [ksoftirqd/2];  724 uW  
  2.1 us/s; 0.18;;;;kWork;key_garbage_collector;  714 uW  
387.0 us/s;;;;;Process;[PID 87707] apt.systemd.dai;  604 uW  
379.3 us/s;;;;;Process;[PID 87715] apt.systemd.dai;  592 uW  
373.1 us/s;;;;;Process;[PID 294] /lib/systemd/systemd-timesyncd ;  582 uW  


The system baseline power is estimated at:  6.87  W;
____________________________________________________________________
 *  *  *   Device Power Report   *  *  *

Usage;Device Name;PW Estimate
 67.0%;CPU use;  6.87 W   
100.0%;USB device: DWC OTG Controller;           
100.0%;runtime-3fc00000.v3d;           
100.0%;radio:hci0;           
100.0%;Radio device: brcmfmac;           
100.0%;USB device: usb-device-0424-2514;           
100.0%;USB device: usb-device-0424-7800;           
100.0%;USB device: usb-device-0424-2514;           
  6.5 pkts/s;Network interface: wlan0 (brcmfmac);           
  4.9 pkts/s;Network interface: eth0 (lan78xx);           
  0.0%;runtime-3f902000.hdmi;           
  0.0%;runtime-3f202000.mmc;           
  0.0%;runtime-soc:firmware:expgpio;           
  0.0%;runtime-vcsm-cma;           
  0.0%;runtime-reg-dummy;           
  0.0%;runtime-fixedregulator_3v3;           
  0.0%;runtime-kgdboc;           
  0.0%;runtime-3f104000.rng;           
  0.0%;runtime-fixedregulator_5v0;           
  0.0%;runtime-bcm2835-wdt;           
  0.0%;runtime-soc:firmware:vcio;           
  0.0%;runtime-3f101000.cprman;           
  0.0%;runtime-3f805000.i2c;           
  0.0%;runtime-soc:power;           
  0.0%;runtime-3f200000.gpiomem;           
  0.0%;runtime-soc:firmware:clocks;           
  0.0%;runtime-3f206000.pixelvalve;           
  0.0%;runtime-raspberrypi-cpufreq;           
  0.0%;runtime-3f980000.usb;           
  0.0%;runtime-arm-pmu;           
  0.0%;runtime-snd-soc-dummy;           
  0.0%;runtime-Fixed MDIO bus.0;           
  0.0%;runtime-soc;           
  0.0%;runtime-bcm2835-codec;           
  0.0%;runtime-cam_dummy_reg;           
  0.0%;runtime-leds;           
  0.0%;I2C Adapter (i2c-2): bcm2835 (i2c@7e805000);           
  0.0%;runtime-3f212000.thermal;           
  0.0%;runtime-3f00b880.mailbox;           
  0.0%;runtime-bcm2835-camera;           
  0.0%;runtime-chosen;           
  0.0%;runtime-3f207000.pixelvalve;           
  0.0%;runtime-soc:firmware;           
  0.0%;runtime-hdmi-audio-codec.0.auto;           
  0.0%;runtime-regulatory.0;           
  0.0%;runtime-3f215000.aux;           
  0.0%;runtime-timer;           
  0.0%;runtime-soc:gpu;           
  0.0%;runtime-bcm2835_audio;           
  0.0%;runtime-3f100000.watchdog;           
  0.0%;runtime-3f200000.gpio;           
  0.0%;runtime-phy;           
  0.0%;runtime-bcm2835-isp;           
  0.0%;runtime-3f007000.dma;           
  0.0%;runtime-cpufreq-dt;           
  0.0%;runtime-3f400000.hvs;           
  0.0%;runtime-3f807000.pixelvalve;           
  0.0%;runtime-cam1_regulator;           
  0.0%;runtime-3f00b840.mailbox;           
  0.0%;runtime-3f004000.txp;           
  0.0%;runtime-3f300000.mmcnr;           
  0.0%;runtime-bcm2835-power;           
  0.0%;runtime-raspberrypi-hwmon;           
____________________________________________________________________
 *  *  *   Process Device Activity   *  *  *

Process;Device
systemd;/dev/autofs
;/dev/kmsg
;/dev/rfkill
systemd-journal;/dev/kmsg
;/dev/kmsg
systemd-logind;/dev/input/event0
thd;/dev/input/event0
rngd;/dev/hwrng
;/dev/random
wpa_supplicant;/dev/rfkill
;/dev/rfkill
bluetoothd;/dev/rfkill

____________________________________________________________________
 *  *  *   AHCI ALPM Residency Statistics - Not supported on this macine   *  *  *

____________________________________________________________________
 *  *  *   Software Settings in Need of Tuning   *  *  *

Description;Script
VM writeback timeout;echo '1500' > '/proc/sys/vm/dirty_writeback_centisecs';
Autosuspend for unknown USB device 1-1.1.1 (0424:7800);echo 'auto' > '/sys/bus/usb/devices/1-1.1.1/power/control';
____________________________________________________________________
 *  *  *   Untunable Software Issues   *  *  *

Description
I2C Adapter i2c-2 has no runtime power management
____________________________________________________________________
 *  *  *   Optimal Tuned Software Settings   *  *  *

Description
Wireless Power Saving for interface wlan0
Bluetooth device interface status
Autosuspend for USB device DWC OTG Controller [usb1]
Autosuspend for unknown USB device 1-1.1 (0424:2514)
Autosuspend for unknown USB device 1-1 (0424:2514)

